Comp-FITC_Alexa 488-A :: CD56,Comp-PE-A :: CD11c,Comp-PE-Cy55-A :: CD3,Comp-PE-Cy7-A :: CD45RO,Comp-APC_Ax 647-A :: 2H2,Comp-APC-Ax700-A :: CD4,Comp-APC-H7-A :: CD8,FlowMeans.ClusterID,EventNumberDP
230.421,117.31,354.145,-137.572,547.873,-108.972,-67.069,50000,630
146.591,206.747,262.351,141.703,214.231,1137.53,224.69,50000,633
175.342,109.233,2904.47,385.877,363.637,1766.72,-102.181,50000,634
252.104,105.991,8505.05,911.104,-52.3824,965.061,20559.1,10000,637
89.2864,216.644,8333.08,40.7704,15.3953,-1201.05,22928.3,10000,638
168.696,40.7683,154.373,172.934,417.015,327.833,768.918,50000,645
141.487,23.9461,6486.45,294.574,122.02,18176.8,-84.8802,40000,646
311.375,11975.2,719.845,2595.7,219.974,5027.78,-74.0114,50000,653
442.821,229.848,13450.9,4948.55,-276.024,-1766.22,4414.24,30000,654
164.576,117.008,17510,65.2792,-224.503,-2407.13,29679.9,10000,657
163.376,112.438,13287.7,288.732,-76.5901,18514.2,-17.963,30000,658
159.673,66.4716,134.565,378.306,347.955,381.229,179.579,50000,661
114.247,1.37704,11812.9,-504.123,595.6,9058.99,191.146,30000,662
355.353,169.899,12005.7,7044.81,-506.4,21660.2,612.758,20000,666
3151.8,4189.1,571.849,-174.216,283.771,-119.445,6966.24,50000,670
3239.2,1674.54,409.188,11.4739,560.134,76.6178,53.5412,50000,673
145.934,77.8393,16668.5,2210.03,209.13,20795.3,325.604,30000,677
383.528,122.089,11365.1,6945.74,-931.374,189.006,13394.9,10000,678
479.681,11095.6,496.025,85.3272,325.866,2359.94,3033.25,50000,681
268.888,111.637,2870.3,5487.79,-170.884,13515.7,-252.98,40000,685
137.459,111.014,5258.36,3183.99,160.452,112.491,-121.436,50000,686
220.039,33.1241,8845.87,2516.81,113.992,13383.9,1065.59,40000,690
7649.36,1155.51,81.7406,35.8,173.589,468.715,200.191,50000,693
233.461,60.4815,3620.01,2230.15,290.968,8462.65,-9.68764,50000,697
445.21,3517.84,238.61,7947.14,420.769,6077.33,-155.471,50000,698
99.7071,6.3666,14278.6,404.356,53.7699,16657.9,-654.859,30000,701
210.727,86.116,15754,1048.76,15.748,-2576.64,29803.3,10000,705
126.787,61.0032,8593.91,1415.18,114.884,9837.51,-154.612,40000,709
233.032,206.288,7202.13,562.898,183.574,-506.984,15009.6,10000,713
183.598,234.75,8030.7,1390.49,158.085,1454.21,21376.9,10000,717
209.353,275.755,7919.54,12688.2,-601.764,14424.2,-414.261,20000,718
176.541,79.167,9678.89,-51.1651,-56.2261,16665.4,-375.135,40000,721
170.806,-3.1157,8565.6,961.004,7.45686,15186.9,59.3786,40000,725
52.1307,87.5878,12337.7,-1089.27,281.195,14406.5,-139.289,30000,726
176.95,113.77,14249.8,358.831,-176.17,9804.08,114.096,30000,729
120.94,102.773,11289.9,-459.164,240.422,15203.3,-927.536,40000,733
122.496,69.7903,7182.6,-205.606,446.754,13352.8,168.143,40000,737
208.695,131.761,5511.02,1275.14,-286.042,1777.67,14790.3,10000,738
186.583,88.7541,6695.42,1058,-376.123,-1139.01,24466.9,10000,741
196.56,133.557,10849.7,-206.253,400.063,11171.8,540.221,40000,742
149.173,128.374,15346,-582.25,200.664,17875.3,-185.708,30000,746
131.793,164.385,8111.48,-437.338,407.288,14243.7,-229.565,40000,750
171.892,148.566,118.49,341.562,413.893,-142.575,667.086,50000,754
107.793,64.0488,5293.72,97.3024,-77.1707,11525.1,350.948,40000,758
1423.9,732.334,217.242,-90.5021,300.333,80.7264,11.844,50000,761
226.202,130.883,8539.15,248.671,322.834,11712.8,-16.7019,40000,762
231.364,61.3486,4213.58,639.119,-187.397,53.5893,8580.48,50000,765
97.3808,-36.0896,7382.93,2437.05,245.746,9167.17,-250.717,40000,766
100.774,24.2871,7603.4,113.56,75.8658,17632.1,212.726,40000,769
1610.58,6438.42,60.2041,308.845,410.643,1308.51,341.175,50000,774
130.97,123.871,16066.7,198.832,166.14,14805.2,352.513,30000,777
207.991,206.67,29361.6,-1243.45,579.103,17367.8,-382.95,30000,778
117.562,39.1479,14098.9,-341.831,-34.9092,16417.5,-640.838,30000,789
280.395,39.9085,17063.5,1117.25,688.92,2749.91,19896.3,10000,793
80.0851,53.7972,4074.88,168.82,396.497,6372.81,318.452,50000,794
317.189,61.8357,4058.55,8805.31,-190.588,9750.27,-507.464,40000,797
164.834,6.87268,11129.4,1129.37,73.3763,14332.7,337.92,40000,798
259.4,65.6655,7176.98,-126.611,258.737,15126.5,-188.197,40000,801
139.73,228.492,10110.7,9566.15,-331.951,16041.8,-254.726,20000,802
159.067,42.8828,9434.31,9934.79,-695.958,18191.9,-1123.88,20000,806
989.507,-63.0182,261.955,29.0128,301.455,183.382,164.159,50000,809
623.137,1047.61,198.999,238.542,821.665,-32.0824,56.2033,50000,810
268.076,164.744,28407.5,-1104.79,36.2412,21028.9,-811.46,30000,813
191.219,150.907,259.654,-73.3915,151.066,1111.29,884.729,50000,814
75.9128,86.5629,8904.18,825.054,395.414,59.0512,15085.9,10000,817
198.417,126,14346.5,742.068,-93.7984,-595.239,18570.6,10000,818
132.601,-13.556,14250.8,990.423,-1.24468,13978.7,-369.315,30000,821
252.972,150.483,5883.94,680.247,-18.0083,93.6852,19521.1,10000,825
1448.25,3847.33,162.95,365.584,217.474,1082.52,5433.59,50000,826
354.703,116.489,8099.33,11752.5,-701.03,22453.7,101.357,20000,829
202.291,224.754,9674.26,8899.52,-668.967,20673.1,2.61609,20000,834
236.672,154.523,71.3794,-43.3947,238.084,-47.4525,356.512,50000,838
183.389,205.828,6299.63,-133.783,333.177,19802.6,155.299,40000,845
380.409,2226.05,266.248,752.854,1676.19,3592.04,1305.06,50000,849
264.705,42.3236,11335.8,17216.3,-1278.2,14370.3,-637.606,20000,853
249.936,-24.8277,15486.7,638.071,291.802,14067.1,649.433,30000,858
127.509,49.1469,4585.38,-7.78432,160.585,9396.92,275.023,40000,861
144.422,75.2844,1650.65,9639.52,-392.285,17061.4,-644.188,40000,862
277.929,963.205,25057.7,3102.1,-53.0681,-1536.67,757.714,30000,865
36.9081,18.0649,15175.5,-0.172988,-154.208,14862,-556.192,30000,874
186.593,83.3644,8704.8,5128.76,-401.354,12251.2,204.637,40000,877
639.676,1803.67,328.077,374.088,77.7842,1207.19,-46.7685,50000,878
237.645,65.7883,155.352,245.711,567.725,150.068,965.086,50000,881
3.48717,-23.2258,13685.9,1052.6,27.5945,15374.1,-956.571,30000,882
858.268,114.238,10605.6,2481.99,296.638,-2155.07,7402.55,40000,889
149.065,171.504,7963.82,-708.144,565.033,16063.1,-143.896,40000,893
145.565,125.628,3629.56,-152.248,336.69,20983.1,-209.491,40000,894
137.245,-81.3082,163.914,338.461,272.187,211.227,76.0872,50000,897
287.972,125.8,14836.1,5522.47,4.06257,16500.6,141.675,30000,901
401.244,251.937,14470,25443.8,-1757.59,16387,-1423.49,20000,902
253.772,207.378,6360.77,12891,-1054.35,14109.9,-776.202,20000,905
139.191,-39.7845,46.2408,-126.039,414.483,639.674,174.809,50000,906
351.503,263.601,13094,18704.3,-1366.33,15071,-376.684,20000,909
252.778,91.3389,17491.6,357.669,710.855,20151.9,-458.511,30000,913
230.513,85.7039,9610.83,-34.0621,407.353,14058.9,451.851,40000,914
110.104,60.3655,17555,-95.9856,658.387,15697.7,804.897,30000,917
140.588,42.5476,5401.94,75.8304,-11.1622,1745.83,18365.1,10000,918
154.894,59.0981,13438.9,452.409,13.6377,14774.9,303.463,30000,921
125.298,54.0187,2.30291,-22.9562,53.4736,276.256,268.542,50000,922
387.63,348.831,71.6307,261.538,942.486,6186.43,-177.882,50000,933
223.438,114.709,15580.6,-38.5118,120.204,17567.6,-162.868,30000,937
277.273,36.9247,2133.25,350.152,206.33,1125.33,377.027,50000,938
202.914,-66.2562,435.458,217.541,160.136,22454,-559.744,40000,941
105.957,61.1194,8954.22,1180.06,112.022,15341.5,-414.206,40000,942
5843.69,4626.06,194.029,1040.29,328.654,-206.401,172.482,50000,945
157.282,4.65094,11048.2,-651.361,363.584,15127.6,-80.2401,40000,946
236.652,160.228,12494.5,24124.2,-2086.92,20079.7,-221.754,20000,949
181.411,178.874,9380.42,8701.37,-286.699,7407.85,-76.1353,40000,950
283.48,138.128,6904.5,17359.9,-1094.71,16053.3,-878.781,20000,954
209.499,-22.596,7167.5,5286.48,149.707,10476.5,-190.171,40000,957
5613.05,1118.71,164.986,27.1446,339.757,19.1285,63.0327,50000,958
254.979,319.506,10092.5,529.877,-132.446,-279.42,24640.5,10000,961
221.573,189.873,12885.9,1095.3,-290.714,16415.4,319.27,30000,966
