"Comp-FITC_Alexa 488-A :: CD56","Comp-PE-A :: CD11c","Comp-PE-Cy55-A :: CD3","Comp-PE-Cy7-A :: CD45RO","Comp-APC_Ax 647-A :: 2H2","Comp-APC-Ax700-A :: CD4","Comp-APC-H7-A :: CD8","EventNumberDP"
158.612,132.744,6366.01,923.976,147.978,9983.37,-33.2867,536
129.012,32.2507,9029.03,445.783,359.328,22453.4,-314.283,541
168.648,179.436,3890.09,952.49,222.518,9231.96,332.304,542
255.741,230.36,9145.51,6438.63,-345.393,-736.675,14324.3,547
305.822,193.832,54.0828,138.539,361.873,443.087,364.091,548
412.627,140.077,12890.7,7771.97,-150.046,20520.2,-654.094,554
122.895,95.9887,13.1472,-33.8943,150.491,1138.73,-211.905,559
186.323,94.0519,15912.5,1630.82,179.32,-2997.23,22754.3,560
718.095,312.156,7913.1,5806.75,-39.959,-1736.25,20526.8,566
222.633,36.1366,18934.8,-908.372,275.002,17760.3,199.63,571
122.515,116.939,7030.41,188.968,203.386,14441.8,646.087,572
172.761,129.753,9844.4,274.486,127.259,16471.3,-601.326,577
206.638,83.5441,156.547,55.2098,348.028,243.116,155.177,578
231.044,197.486,12176.1,4102.61,452.145,27742.5,-589.15,583
1266.61,983.071,436.086,152.912,463.185,53.9494,174.857,589
183.948,67.1438,8145.08,-98.4323,87.6147,13379.2,427.338,590
179.678,160.446,9375.3,1366.22,375.031,16816.5,-257.115,595
868.559,9107.14,797.12,3806.7,3497.58,1628.28,934.187,596
202.378,1.32937,6042.03,10257.9,-941.751,26765.2,-480.685,601
86.1053,30.437,10238.3,1694.86,46.5368,14371.5,215.972,602
201.6,59.1809,10012.1,-201.436,179.956,13541.6,22.6702,607
144.63,135.067,4582.23,-376.152,456.052,7069.35,-186.026,608
277.933,55.895,10377.9,247.096,126.109,10712.8,-343.635,613
477.459,12301.4,301.247,622.852,596.181,6887.19,281.739,619
254.95,120.172,13089.4,-456.279,225.215,17904.4,-278.415,620
178.495,181.586,15995.8,6873.9,-50.0226,2286.65,-453.382,625
153.282,82.6091,8904.03,401.357,141.881,9078.25,226.118,626
83.8867,1.05393,6152.45,-290.881,102.25,14631.3,54.8024,631
190.567,53.9162,12364.9,6521.45,-344.172,9482.23,190.566,637
340.858,344.212,13212.6,13942.4,-876.9,21407.3,-255.978,643
304.778,107.586,110.486,-52.168,1090.13,-197.902,-65.2026,644
107.135,130.764,11378.4,-99.8907,-138.273,13085.5,52.7705,650
241.087,145.092,12044.3,26564.1,-2003.15,1028.46,16006.6,655
146.87,165.259,15348.9,287.237,142.729,14508,985.124,661
140.731,166.412,10840.5,-1287.35,264.286,14442,662.164,662
305.809,42.3984,8457.03,5637.09,66.7521,16007.7,-626.318,667
173.111,37.1953,5511.63,212.657,34.9974,1409.04,17660,673
3614.44,128.913,450.945,-15.8528,638.621,286.306,192.507,674
99.992,68.4409,8576.4,80.5282,833.46,689.495,17249.3,680
223.896,81.7717,136.358,51.7836,211.12,-248.229,368.335,685
298.145,235.963,16172.3,571.953,298.125,14964.2,-441.38,686
273.198,132.405,8919.24,1169.18,-219.403,21.5938,21523.8,692
